Pos.,Team,Ht.,Wt.,Last Name,First Name,ID,Abbreviation,Conference,Division
WR,Steelers,6-1,212,Coates,Sammie,25.0,PIT,AFC,North
WR,49ers,5-8,190,Carter,DeAndre,27.0,SF,NFC,West
WR,Panthers,6-3,215,Garrett,Keyarris,5.0,CAR,NFC,South
WR,Colts,5-10,185,Dorsett,Phillip,14.0,IND,AFC,South
WR,Titans,5-10,169,Jennings,Darius,31.0,TEN,AFC,South
WR,Rams,5-10,205,Marquez,Bradley,29.0,LAR,NFC,West
WR,Browns,6-0,200,Hall,Rannell,8.0,CLE,AFC,North
WR,Lions,5-9,189,Billingsley,Jace,11.0,DET,NFC,North
WR,Vikings,6-2,209,Jones,Cayleb,18.0,MIN,NFC,North
WR,Saints,6-6,225,Coleman,Brandon,20.0,NO,NFC,South
WR,Steelers,5-10,190,Tucker,Marcus,25.0,PIT,AFC,North
WR,Seahawks,5-10,182,Lockett,Tyler,28.0,SEA,NFC,West
WR,Bengals,6-4,206,Russell,Alonzo,7.0,CIN,AFC,North
WR,Jets,6-2,209,Peake,Charone,22.0,NYJ,AFC,East
WR,Cardinals,6-3,208,Clark,Larry,1.0,ARI,NFC,West
WR,Packers,6-1,215,Adams,Davante,12.0,GB,NFC,North
WR,Texans,6-2,190,Anderson,Dres,13.0,HOU,AFC,South
WR,Colts,6-2,205,Smith,Tevaun,14.0,IND,AFC,South
WR,Chiefs,6-3,205,Conley,Chris,16.0,KC,AFC,West
WR,Saints,6-2,203,Lawrence,Rashad,20.0,NO,NFC,South
WR,Steelers,5-10,187,Rogers,Eli,25.0,PIT,AFC,North
WR,Panthers,5-9,180,Byrd,Damiere,5.0,CAR,NFC,South
WR,Texans,5-10,180,Hill,Shaq,13.0,HOU,AFC,South
WR,Eagles,6-5,237,Green-Beckham,Dorial,24.0,PHI,NFC,East
WR,Seahawks,6-1,219,Williams,Kasen,28.0,SEA,NFC,West
WR,Commanders,6-2,206,Doctson,Josh,,,,
WR,Patriots,6-1,200,Mitchell,Malcolm,19.0,NE,AFC,East
WR,Jaguars,6-4,205,Robinson,Jamal,15.0,JAX,AFC,South
