Pos.,Team,Ht.,Wt.,First Name,Last Name,ID,Abbreviation,Conference,Division
TE,Jets,6-4,265,Parker,Brian,22.0,NYJ,AFC,East
TE,Packers,6-4,257,Rodgers,Richard,12.0,GB,NFC,North
TE,Commanders,6-2,239,Garner,Manasseh,,,,
TE,Bears,6-2,258,Pruitt,MyCole,6.0,CHI,NFC,North
TE,Broncos,6-5,255,Derby,A.J.,10.0,DEN,AFC,West
TE,Jets,6-6,263,Tomlinson,Eric,22.0,NYJ,AFC,East
TE,Eagles,6-4,235,Denham,Anthony,24.0,PHI,NFC,East
TE,Chiefs,6-7,230,Harris,Demetrius,16.0,KC,AFC,West
TE,49ers,6-6,252,Bell,Blake,27.0,SF,NFC,West
TE,Buccaneers,6-5,235,Brate,Cameron,30.0,TB,NFC,South
TE,Bears,6-5,243,Brown,Daniel,6.0,CHI,NFC,North
TE,Titans,6-8,275,Semisch,Tim,31.0,TEN,AFC,South
TE,Seahawks,6-4,250,Lucas,Marcus,28.0,SEA,NFC,West
TE,Falcons,6-4,260,Tialavea,D.J.,2.0,ATL,NFC,South
TE,Browns,6-4,250,Telfer,Randall,8.0,CLE,AFC,North
TE,Cowboys,6-7,259,Hamlett,Connor,9.0,DAL,NFC,East
TE,Lions,6-4,253,Lee,Khari,11.0,DET,NFC,North
TE,Colts,6-5,257,Swoope,Erik,14.0,IND,AFC,South
TE,Texans,6-5,265,Fiedorowicz,C.J.,13.0,HOU,AFC,South
TE,Jaguars,6-4,257,Sterling,Neal,15.0,JAX,AFC,South
TE,Patriots,6-4,245,O'Shaughnessy,James,19.0,NE,AFC,East
TE,Raiders,6-4,258,Walford,Clive,23.0,LV,AFC,West
TE,Eagles,6-3,235,Burton,Trey,24.0,PHI,NFC,East
TE,Rams,6-4,262,Harkey,Cory,29.0,LAR,NFC,West
TE,Jaguars,6-3,245,Rivera,Mychal,15.0,JAX,AFC,South
TE,Patriots,6-7,266,Lengel,Matt,19.0,NE,AFC,East
TE,Raiders,6-5,255,Holmes,Gabe,23.0,LV,AFC,West
TE,Falcons,"6'5""",253,Saubert,Eric,2.0,ATL,NFC,South
TE,Bengals,6-6,255,Eifert,Tyler,7.0,CIN,AFC,North
TE,Chiefs,6-3,247,Charles,Orson,16.0,KC,AFC,West
TE,Bills,6-4,247,Annen,Blake,4.0,BUF,AFC,East
TE,Titans,6-3,250,Cunningham,Jerome,31.0,TEN,AFC,South
TE,Eagles,6-5,250,Ertz,Zach,24.0,PHI,NFC,East
