First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Kyle,Trask,QB,6-5,236.0,33,10 1/4,Tampa Bay Buccaneers,NFC,South
Kyler,Murray,QB,5-10,207.0,28 1/2,9 1/2,Arizona Cardinals,NFC,West
Lamar,Jackson,QB,6-2,205.0,33 1/4,9 1/2,Atlanta Falcons,NFC,South
Lamar,Jackson,QB,6-2,205.0,33 1/4,9 1/2,Baltimore Ravens,AFC,North
Logan,Woodside,QB,6-1,213.0,31,9 3/4,Cincinnati Bengals,AFC,North
Mac,Jones,QB,6-3,220.0,32 3/4,9 3/4,Jacksonville Jaguars,AFC,South
Malik,Willis,QB,6-1,225.0,31 3/4,9 1/2,Green Bay Packers,NFC,North
Marcus,Mariota,QB,6-4,222.0,32,10,Washington Commanders,NFC,East
Mason,Rudolph,QB,6-5,235.0,32 1/2,9 1/4,Tennessee Titans,AFC,South
Matthew,Stafford,QB,6-3,214.0,33 1/4,10,Los Angeles Rams,NFC,West
Michael,Pratt,QB,6-3,220.0,30 3/4,9 1/4,Tampa Bay Buccaneers,NFC,South
Mike,White,QB,6-5,216.0,32,9 1/2,Buffalo Bills,AFC,East
Mitchell,Trubisky,QB,6-3,222.0,32,9 1/2,Buffalo Bills,AFC,East
Nate,Davis,QB,6-1,226.0,32,9 1/2,Chicago Bears,NFC,North
Nathan,Peterman,QB,6-2,225.0,32,10,Atlanta Falcons,NFC,South
Nick,Mullens,QB,6-1,210.0,,,Minnesota Vikings,NFC,North
Patrick,Mahomes,QB,6-2,225.0,33 1/4,9 1/4,Kansas City Chiefs,AFC,West
Russell,Wilson,QB,5-11,206.0,31,10 1/4,Pittsburgh Steelers,AFC,North
Sam,Ehlinger,QB,6-2,225.0,30 1/2,9 3/4,Indianapolis Colts,AFC,South
Sam,Darnold,QB,6-3,225.0,31,9 1/2,Minnesota Vikings,NFC,North
Sam,Howell,QB,6-1,220.0,30 3/4,9 1/4,Seattle Seahawks,NFC,West
Sam,Hartman,QB,6-1,209.0,31 1/2,9 3/4,Washington Commanders,NFC,East
Sean,Clifford,QB,6-2,217.0,,,Green Bay Packers,NFC,North
Shane,Buechele,QB,6-0,210.0,30 1/4,9 1/2,Buffalo Bills,AFC,East
Skylar,Thompson,QB,6-2,210.0,31,8 3/4,Miami Dolphins,AFC,East
Spencer,Rattler,QB,6-0,211.0,31,10,New Orleans Saints,NFC,South
Stetson,Bennett,QB,5-11,190.0,29,10,Los Angeles Rams,NFC,West
