First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Adam,Trautman,TE,6-5,253.0,32 3/4,9 1/2,Denver Broncos,AFC,West
AJ,Barner,TE,6-6,251.0,33 1/2,9,Seattle Seahawks,NFC,West
Albert,Okwuegbunam,TE,6-5,258.0,34 1/4,10 1/4,Indianapolis Colts,AFC,South
Albert,Okwuegbunam,TE,6-5,258.0,34 1/4,10 1/4,Philadelphia Eagles,NFC,East
Andrew,Ogletree,TE,6-5,260.0,,,Indianapolis Colts,AFC,South
Anthony,Firkser,TE,6-2,246.0,,,Kansas City Chiefs,AFC,West
Anthony,Firkser,TE,6-2,246.0,,,New York Jets,AFC,East
Armani,Rogers,TE,6-5,225.0,,,Atlanta Falcons,NFC,South
Austin,Hooper,TE,6-4,254.0,33 3/4,10 3/4,New England Patriots,AFC,East
Baylor,Cupp,TE,6-6,243.0,,,Kansas City Chiefs,AFC,West
Ben,Sims,TE,6-5,250.0,,,Green Bay Packers,NFC,North
Ben,Sinnott,TE,6-4,247.0,32 1/2,9 1/2,Washington Commanders,NFC,East
Bernhard,Seikovits,TE,6-5,262.0,,,Arizona Cardinals,NFC,West
Blake,Whiteheart,TE,6-4,247.0,32 1/4,8 3/4,Cleveland Browns,AFC,North
Brady,Russell,TE,6-3,250.0,,,Seattle Seahawks,NFC,West
Brayden,Willis,TE,6-4,240.0,33 1/4,9 3/4,San Francisco 49ers,NFC,NFC
Brenden,Bates,TE,6-5,255.0,,,Cleveland Browns,AFC,North
Brenden,Bates,TE,6-5,255.0,,,New York Jets,AFC,East
Brenton,Strange,TE,6-4,253.0,31 1/4,9 3/4,Jacksonville Jaguars,AFC,South
Brevin,Jordan,TE,6-3,245.0,33,9 3/4,Houston Texans,AFC,South
Brevyn,Spann-Ford,TE,6-7,270.0,33 1/2,10 1/4,Dallas Cowboys,NFC,East
Brock,Wright,TE,6-5,250.0,,,Detroit Lions,NFC,North
Brock,Bowers,TE,6-4,230.0,32 3/4,9 3/4,Las Vegas Raiders,AFC,West
Cade,Stover,TE,6-4,251.0,32 3/4,9 3/4,Houston Texans,AFC,South
Cade,Otton,TE,6-5,247.0,32 3/4,9 1/2,Tampa Bay Buccaneers,NFC,South
Cameron,Latu,TE,6-5,244.0,32 1/2,9 1/2,Cleveland Browns,AFC,North
Charlie,Woerner,TE,6-5,241.0,31 1/4,10,Atlanta Falcons,NFC,South
Charlie,Kolar,TE,6-6,267.0,34 1/2,10,Baltimore Ravens,AFC,North
Chris,Myarick,TE,6-5,261.0,,,Houston Texans,AFC,South
Chris,Manhertz,TE,6-6,235.0,,,New York Giants,NFC,East
Colby,Parkinson,TE,6-7,265.0,33 1/4,9 3/4,Los Angeles Rams,NFC,West
Cole,Kmet,TE,6-6,260.0,33,10 1/2,Chicago Bears,NFC,North
Cole,Fotheringham,TE,6-4,243.0,,,Houston Texans,AFC,South
Cole,Fotheringham,TE,6-4,243.0,,,Las Vegas Raiders,AFC,West
Cole,Turner,TE,6-6,240.0,33,10,Washington Commanders,NFC,East
Colson,Yankoff,TE,6-4,225.0,,,Washington Commanders,NFC,East
Connor,Heyward,TE,6-0,230.0,32,9 1/2,Pittsburgh Steelers,AFC,North
Dallas,Goedert,TE,6-5,256.0,34,10,Philadelphia Eagles,NFC,East
Dallin,Holker,TE,6-3,241.0,33 3/4,10 1/4,New Orleans Saints,NFC,South
Dalton,Kincaid,TE,6-4,240.0,32 3/4,10 1/4,Buffalo Bills,AFC,East
Dalton,Schultz,TE,6-5,242.0,31 1/4,9 1/2,Houston Texans,AFC,South
Daniel,Hardy,TE,6-4,249.0,31 3/4,10,Chicago Bears,NFC,North
Daniel,Bellinger,TE,6-6,255.0,32 1/2,10 1/4,New York Giants,NFC,East
Darnell,Washington,TE,6-7,265.0,34 1/2,11,Pittsburgh Steelers,AFC,North
David,Njoku,TE,6-4,246.0,35 1/4,10,Cleveland Browns,AFC,North
David,Martin-Robinson,TE,6-3,247.0,,,Tennessee Titans,AFC,South
Davis,Allen,TE,6-6,251.0,32 1/4,10,Los Angeles Rams,NFC,West
Dawson,Knox,TE,6-4,254.0,33 1/2,9 3/4,Buffalo Bills,AFC,East
Devin,Culp,TE,6-4,237.0,33,9 1/4,Tampa Bay Buccaneers,NFC,South
Dominique,Dafney,TE,6-2,243.0,,,Carolina Panthers,NFC,South
Donald,Parham,TE,6-8,237.0,,,Denver Broncos,AFC,West
Drew,Sample,TE,6-5,260.0,33 1/2,9 3/4,Cincinnati Bengals,AFC,North
Durham,Smythe,TE,6-6,246.0,31 3/4,9 1/4,Miami Dolphins,AFC,East
Elijah,Higgins,TE,6-3,234.0,31 3/4,10 1/2,Arizona Cardinals,NFC,West
Eric,Tomlinson,TE,6-6,265.0,33,10,Los Angeles Chargers,AFC,West
Eric,Johnson,TE,6-3,252.0,,,New England Patriots,AFC,East
Eric,Saubert,TE,6-5,248.0,33 1/2,10 1/2,San Francisco 49ers,NFC,NFC
Erick,All,TE,6-5,255.0,33,10 1/4,Cincinnati Bengals,AFC,North
Evan,Engram,TE,6-3,240.0,33 1/2,10,Jacksonville Jaguars,AFC,South
Feleipe,Franks,TE,6-6,241.0,34,9 3/4,Carolina Panthers,NFC,South
Foster,Moreau,TE,6-4,250.0,33 1/2,9 3/4,New Orleans Saints,NFC,South
Geoff,Swaim,TE,6-4,260.0,,,Cleveland Browns,AFC,North
George,Kittle,TE,6-4,250.0,33 1/4,9 1/4,San Francisco 49ers,NFC,NFC
Gerald,Everett,TE,6-3,252.0,33,8 1/2,Chicago Bears,NFC,North
Grant,Calcaterra,TE,6-4,240.0,33 1/4,10,Philadelphia Eagles,NFC,East
Greg,Dulcich,TE,6-4,245.0,33 1/2,10,Denver Broncos,AFC,West
Greg,Dulcich,TE,6-4,245.0,33 1/2,10,New York Giants,NFC,East
Harrison,Bryant,TE,6-5,230.0,30 3/4,9 1/2,Las Vegas Raiders,AFC,West
