First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Dayton,Wade,WR,5-9,184.0,,,Baltimore Ravens,AFC,North
DeAndre,Carter,WR,5-8,190.0,,,Chicago Bears,NFC,North
DeAndre,Hopkins,WR,6-1,212.0,33 1/2,10,Kansas City Chiefs,AFC,West
DeAndre,Hopkins,WR,6-1,212.0,33 1/2,10,Tennessee Titans,AFC,South
Demarcus,Robinson,WR,6-1,203.0,33,9 1/2,Los Angeles Rams,NFC,West
Demario,Douglas,WR,5-8,192.0,30 1/4,8 3/4,New England Patriots,AFC,East
Dennis,Houston,WR,6-1,198.0,,,Tampa Bay Buccaneers,NFC,South
Deon,Cain,WR,6-2,202.0,33,8 3/4,Buffalo Bills,AFC,East
Deon,Cain,WR,6-2,202.0,33,8 3/4,Carolina Panthers,NFC,South
Derius,Davis,WR,5-8,165.0,29 1/4,8,Los Angeles Chargers,AFC,West
Devaughn,Vele,WR,6-5,210.0,33 1/2,9 3/4,Denver Broncos,AFC,West
Deven,Thompkins,WR,5-8,155.0,,,Carolina Panthers,NFC,South
Devin,Duvernay,WR,5-11,202.0,30 3/4,9 1/2,Jacksonville Jaguars,AFC,South
DeVonta,Smith,WR,6-0,170.0,31 1/4,9 1/4,Philadelphia Eagles,NFC,East
Devontez,Walker,WR,6-1,198.0,33 1/4,9 1/4,Baltimore Ravens,AFC,North
Dez,Fitzpatrick,WR,6-2,208.0,32 3/4,9 3/4,Los Angeles Chargers,AFC,West
Diontae,Johnson,WR,5-10,183.0,30 3/4,9,Baltimore Ravens,AFC,North
Diontae,Johnson,WR,5-10,183.0,30 3/4,9,Carolina Panthers,NFC,South
Diontae,Johnson,WR,5-10,183.0,30 3/4,9,Houston Texans,AFC,South
DJ,Turner,WR,5-9,206.0,,,Las Vegas Raiders,AFC,West
DK,Metcalf,WR,6-4,235.0,35,10,Seattle Seahawks,NFC,West
Donovan,Peoples-Jones,WR,6-2,204.0,33 1/2,10 1/4,Detroit Lions,NFC,North
Dontayvion,Wicks,WR,6-1,206.0,32 1/2,10,Green Bay Packers,NFC,North
Drake,London,WR,6-4,213.0,33,9 1/2,Atlanta Falcons,NFC,South
Drake,Stoops,WR,5-10,189.0,,,Los Angeles Rams,NFC,West
Dyami,Brown,WR,6-0,195.0,32 3/4,9 3/4,Washington Commanders,NFC,East
Dylan,Drummond,WR,6-0,186.0,,,Atlanta Falcons,NFC,South
